version,source_version,method,preset_or_seed,episodes,loose_successes,loose_success_rate,strict_grasp_successes,strict_grasp_success_rate,mean_target_distance,mean_object_z,grasp_successes,diagnosis,paper_boundary,evidence_path,reproduction_command
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,current_slow,2,0,0.000,0,0.000,0.1779,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,slower,2,0,0.000,0,0.000,0.1434,0.0246,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_conditioned_chunk_bc_v2,very_slow,2,0,0.000,0,0.000,0.1491,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,current_slow,2,2,1.000,0,0.000,0.0164,0.0249,0,放置距离指标有成功，但没有形成抓取/抬升；更像推放或碰撞到目标附近。,论文中必须同时报告 success 与 grasp_success/object_z，不能写成稳定抓取成功。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,slower,2,0,0.000,0,0.000,0.2071,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,trajectory_knn_chunk_bc_v1,very_slow,2,0,0.000,0,0.000,0.1499,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,torch_act_state_chunk_v1,current_slow,2,1,0.500,0,0.000,0.1022,0.0249,0,放置距离指标有成功，但没有形成抓取/抬升；更像推放或碰撞到目标附近。,论文中必须同时报告 success 与 grasp_success/object_z，不能写成稳定抓取成功。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,torch_act_state_chunk_v1,slower,2,0,0.000,0,0.000,0.1014,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.15 --max-arm-delta 0.008 --max-gripper-delta 0.00035 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,control_safety_sweep_v1,torch_act_state_chunk_v1,very_slow,2,0,0.000,0,0.000,0.1457,0.0249,0,物体高度未超过抬升阈值，严格抓取口径判为失败。,只能写成该口径下未观察到可靠抓取。,docs/control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.08 --max-arm-delta 0.005 --max-gripper-delta 0.0002 --stop-on-unsafe --log-every 0 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1"
strict_grasp_success_audit_v1,action_head_control_safety_sweep_v1,object_language_action_head_lite_v1,current_slow,2,0,0.000,0,0.000,0.4052,0.1201,0,未形成可证明的严格抓取成功。,只能写成该口径下未观察到可靠抓取。,docs/action_head_control_safety_sweep.csv,"""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_object_action_head.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\object_action_head\object_action_head_lite_20260720_044703.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 2 --steps 2840 --no-viewer --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 0"
